"type","subtype","db_vocab_table","vocab_shortIdentifier","db_term_table","mapper.db_term_group_table_name","service_path"
"chronology","era","chronologyauthorities_common","era","chronologies_common","chronologytermgroup","chronologyauthorities"
"chronology","event","chronologyauthorities_common","event","chronologies_common","chronologytermgroup","chronologyauthorities"
"chronology","field-collection","chronologyauthorities_common","field_collection","chronologies_common","chronologytermgroup","chronologyauthorities"
"citation","local","citationauthorities_common","citation","citations_common","citationtermgroup","citationauthorities"
"citation","worldcat","citationauthorities_common","worldcat","citations_common","citationtermgroup","citationauthorities"
"concept","activity","conceptauthorities_common","activity","concepts_common","concepttermgroup","conceptauthorities"
"concept","archaeological-culture","conceptauthorities_common","archculture","concepts_common","concepttermgroup","conceptauthorities"
"concept","associated","conceptauthorities_common","concept","concepts_common","concepttermgroup","conceptauthorities"
"concept","cultural-group","conceptauthorities_common","ethculture","concepts_common","concepttermgroup","conceptauthorities"
"concept","function","conceptauthorities_common","ethfilecode","concepts_common","concepttermgroup","conceptauthorities"
"concept","material","conceptauthorities_common","material_ca","concepts_common","concepttermgroup","conceptauthorities"
"concept","nomenclature","conceptauthorities_common","nomenclature","concepts_common","concepttermgroup","conceptauthorities"
"concept","occasion","conceptauthorities_common","occasion","concepts_common","concepttermgroup","conceptauthorities"
"location","local","locationauthorities_common","location","locations_common","loctermgroup","locationauthorities"
"location","offsite","locationauthorities_common","offsite_sla","locations_common","loctermgroup","locationauthorities"
"organization","local","orgauthorities_common","organization","organizations_common","orgtermgroup","orgauthorities"
"organization","ulan","orgauthorities_common","ulan_oa","organizations_common","orgtermgroup","orgauthorities"
"person","local","personauthorities_common","person","persons_common","persontermgroup","personauthorities"
"person","ulan","personauthorities_common","ulan_pa","persons_common","persontermgroup","personauthorities"
"place","archaeological","placeauthorities_common","archaeological","places_common","placetermgroup","placeauthorities"
"place","local","placeauthorities_common","place","places_common","placetermgroup","placeauthorities"
"place","tgn","placeauthorities_common","tgn_place","places_common","placetermgroup","placeauthorities"
"taxon","common","taxonomyauthority_common","common_ta","taxon_common","taxontermgroup","taxonomyauthority"
"taxon","local","taxonomyauthority_common","taxon","taxon_common","taxontermgroup","taxonomyauthority"
"work","cona","workauthorities_common","cona_work","works_common","worktermgroup","workauthorities"
"work","local","workauthorities_common","work","works_common","worktermgroup","workauthorities"
